0.38,48
0.385,50.2
0.39,57.8
0.395,68.7
0.4,83
0.405,87.8
0.41,92.3
0.415,92.6
0.42,93.5
0.425,90.5
0.43,87.3
0.435,96.2
0.44,105.3
0.445,111.5
0.45,116
0.455,118.5
0.46,119
0.465,116.3
0.47,112.3
0.475,114.5
0.48,114.9
0.485,112.3
0.49,108.1
0.495,109
0.5,109.6
0.505,108
0.51,106.3
0.515,105.8
0.52,104.8
0.525,106.2
0.53,107.7
0.535,106.5
0.54,101.3
0.545,101.2
0.55,101
0.555,100.3
0.56,100
0.565,98.6
0.57,97.5
0.575,96.5
0.58,95.4
0.585,93.2
0.59,88.5
0.595,89.1
0.6,90.5
0.605,89.4
0.61,89.8
0.615,87.4
0.62,88.7
0.625,86.3
0.63,85.4
0.635,84.6
0.64,83.1
0.645,82.3
0.65,81
0.655,81.1
0.66,80.5
0.665,81.6
0.67,83.2
0.675,80.5
0.68,79.5
0.685,75.3
0.69,72.9
0.695,68.5
0.7,74.2
0.705,76
0.71,75
0.715,69.2
0.72,63.5
0.725,67.5
0.73,69.2
0.735,70.4
0.74,73.6
0.745,72.3
0.75,66.8
0.755,66.1
0.76,50.1
0.765,60.6
0.77,67.5
0.775,66.1
0.78,65.9
