0.706999, 0.706999, 0.0174524, 1.55334, 0.785398 
0.641391, 0.653166, 0.402481, 1.15657, 0.794494 
0.53997, 0.557728, 0.630374, 0.888761, 0.801574 
0.445684, 0.465901, 0.764397, 0.700691, 0.807572 
0.36541, 0.386246, 0.846929, 0.560613, 0.813111 
0.298733, 0.319231, 0.899361, 0.452491, 0.818556 
0.243834, 0.263522, 0.933328, 0.367223, 0.824184 
0.198787, 0.217479, 0.955608, 0.29908, 0.830272 
0.161867, 0.179557, 0.970339, 0.244166, 0.837162 
0.131607, 0.148405, 0.98013, 0.199678, 0.845316 
0.10678, 0.122881, 0.98666, 0.163522, 0.855392 
0.0863719, 0.102036, 0.991024, 0.134085, 0.868345 
0.0695426, 0.0850836, 0.993944, 0.110111, 0.885569 
0.0555979, 0.0713837, 0.995898, 0.0906046, 0.909079 
0.0439611, 0.0604154, 0.997205, 0.0747865, 0.941756 
0.0341499, 0.0517614, 0.998075, 0.0620516, 0.987593 
0.0257577, 0.0450914, 0.998651, 0.0519531, 1.0518 
0.018436, 0.0401508, 0.999024, 0.0441955, 1.14034 
0.0118807, 0.0367509, 0.999254, 0.0386331, 1.25812 
0.00581935, 0.0347615, 0.999379, 0.0352526, 1.40493 
4.82535e-16, 0.0341068, 0.999418, 0.0341134, 1.5708 
-0.00581935, 0.0347615, 0.999379, 0.0352526, 1.73667 
-0.0118807, 0.0367509, 0.999254, 0.0386331, 1.88347 
-0.018436, 0.0401508, 0.999024, 0.0441955, 2.00125 
-0.0257577, 0.0450914, 0.998651, 0.0519531, 2.08979 
-0.0341499, 0.0517614, 0.998075, 0.0620516, 2.154 
-0.0439611, 0.0604154, 0.997205, 0.0747865, 2.19984 
-0.0555979, 0.0713837, 0.995898, 0.0906046, 2.23251 
-0.0695426, 0.0850836, 0.993944, 0.110111, 2.25602 
-0.0863719, 0.102036, 0.991024, 0.134085, 2.27325 
-0.10678, 0.122881, 0.98666, 0.163522, 2.2862 
-0.131607, 0.148405, 0.98013, 0.199678, 2.29628 
-0.161867, 0.179557, 0.970339, 0.244166, 2.30443 
-0.198787, 0.217479, 0.955608, 0.29908, 2.31132 
-0.243834, 0.263522, 0.933328, 0.367223, 2.31741 
-0.298733, 0.319231, 0.899361, 0.452491, 2.32304 
-0.36541, 0.386246, 0.846929, 0.560613, 2.32848 
-0.445684, 0.465901, 0.764397, 0.700691, 2.33402 
-0.53997, 0.557728, 0.630374, 0.888761, 2.34002 
-0.641391, 0.653166, 0.402481, 1.15657, 2.3471 
-0.706999, 0.706999, 0.0174524, 1.55334, 2.35619 
